127.0.0.1, 2013-08-12 08:42:10, GET, /, HTTP/1.1, 303, 0.000440
127.0.0.1, 2013-08-12 08:42:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.226514
127.0.0.1, 2013-08-12 08:42:10, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000362
127.0.0.1, 2013-08-12 08:42:10, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000197
127.0.0.1, 2013-08-12 08:42:10, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000202
127.0.0.1, 2013-08-12 08:42:10, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000194
127.0.0.1, 2013-08-12 08:42:10, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000228
127.0.0.1, 2013-08-12 08:42:10, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000187
127.0.0.1, 2013-08-12 08:42:10, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000191
127.0.0.1, 2013-08-12 08:42:10, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000259
127.0.0.1, 2013-08-12 08:42:10, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000296
127.0.0.1, 2013-08-12 08:42:10, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000372
127.0.0.1, 2013-08-12 08:42:10, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000319
127.0.0.1, 2013-08-12 08:42:10, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000300
127.0.0.1, 2013-08-12 08:42:10, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000332
127.0.0.1, 2013-08-12 08:42:10, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000337
127.0.0.1, 2013-08-12 08:42:10, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000198
127.0.0.1, 2013-08-12 08:42:10, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000197
127.0.0.1, 2013-08-12 08:42:25, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000325
127.0.0.1, 2013-08-12 08:42:27, GET, /welcome/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000347
127.0.0.1, 2013-08-12 08:42:33, GET, /admin/default/index, HTTP/1.1, 200, 0.092071
127.0.0.1, 2013-08-12 08:42:33, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000332
127.0.0.1, 2013-08-12 08:42:33, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000201
127.0.0.1, 2013-08-12 08:42:33, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000222
127.0.0.1, 2013-08-12 08:42:33, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000217
127.0.0.1, 2013-08-12 08:42:33, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000195
127.0.0.1, 2013-08-12 08:42:33, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000518
127.0.0.1, 2013-08-12 08:42:33, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000219
127.0.0.1, 2013-08-12 08:42:33, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000195
127.0.0.1, 2013-08-12 08:42:33, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000199
127.0.0.1, 2013-08-12 08:42:33, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000189
127.0.0.1, 2013-08-12 08:42:33, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000314
127.0.0.1, 2013-08-12 08:42:33, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000762
127.0.0.1, 2013-08-12 08:42:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000216
127.0.0.1, 2013-08-12 08:42:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000173
127.0.0.1, 2013-08-12 08:42:40, POST, /admin/default/index, HTTP/1.1, 303, 0.047851
127.0.0.1, 2013-08-12 08:42:40, GET, /admin/default/site, HTTP/1.1, 200, 0.047128
127.0.0.1, 2013-08-12 08:42:40, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.000385
127.0.0.1, 2013-08-12 08:42:40, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.000198
127.0.0.1, 2013-08-12 08:42:40, GET, /admin/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000192
127.0.0.1, 2013-08-12 08:42:42, POST, /admin/default/check_version, HTTP/1.1, 200, 2.435660
127.0.0.1, 2013-08-12 08:42:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.027608
127.0.0.1, 2013-08-12 08:42:57, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000266
127.0.0.1, 2013-08-12 08:43:34, GET, /admin/default/about/welcome, HTTP/1.1, 200, 0.043177
127.0.0.1, 2013-08-12 08:43:34, GET, /admin/static/js/jquery.flot.js, HTTP/1.1, 200, 0.000346
127.0.0.1, 2013-08-12 08:43:34, GET, /admin/static/js/jquery.flot.resize.js, HTTP/1.1, 200, 0.000205
127.0.0.1, 2013-08-12 08:54:30, GET, /admin/default/site, HTTP/1.1, 200, 0.035201
127.0.0.1, 2013-08-12 09:07:08, POST, /admin/default/check_version, HTTP/1.1, 200, 0.308694
127.0.0.1, 2013-08-12 09:07:23, POST, /admin/default/site, HTTP/1.1, 303, 0.095497
127.0.0.1, 2013-08-12 09:07:23, GET, /admin/default/design/csvEdit, HTTP/1.1, 200, 0.112516
127.0.0.1, 2013-08-12 09:07:23, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000340
127.0.0.1, 2013-08-12 09:07:23, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000225
127.0.0.1, 2013-08-12 09:07:23, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000194
127.0.0.1, 2013-08-12 09:07:23, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000194
127.0.0.1, 2013-08-12 09:07:48, GET, /admin/default/peek/csvEdit/views/generic.pdf, HTTP/1.1, 200, 0.030441
127.0.0.1, 2013-08-12 09:07:54, GET, /admin/default/design/csvEdit, HTTP/1.1, 200, 0.082413
127.0.0.1, 2013-08-12 09:08:03, GET, /admin/default/edit/csvEdit/views/layout.html, HTTP/1.1, 200, 0.047953
127.0.0.1, 2013-08-12 09:08:03, GET, /admin/static/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000341
127.0.0.1, 2013-08-12 09:08:03, GET, /admin/static/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000200
